Week,Cases,Dengue,Dengue Fever,Dengue Symptoms,Dengue Treatment,CBC Test,CBC Test Price,Platelet count,Fever,Headache,Platelet,CBC,Mosquito
9/17/2023,20155,74.0,63.1578947368421,48.484848484848484,100.0,57.14285714285714,100.0,60.0,70.0,80.0,64.28571428571429,70.0,90.0
9/24/2023,18689,61.0,57.89473684210527,42.42424242424242,80.0,57.14285714285714,50.0,60.0,60.0,80.0,57.14285714285714,60.0,75.0
10/1/2023,17416,54.0,63.1578947368421,33.33333333333333,40.0,42.857142857142854,50.0,40.0,62.0,80.0,50.0,60.0,55.00000000000001
10/8/2023,16429,42.0,31.57894736842105,27.27272727272727,40.0,57.14285714285714,50.0,40.0,44.0,60.0,35.714285714285715,60.0,45.0
10/15/2023,15739,35.0,26.31578947368421,21.21212121212121,20.0,57.14285714285714,50.0,40.0,44.0,80.0,42.857142857142854,60.0,40.0
10/22/2023,12872,27.0,21.052631578947366,21.21212121212121,20.0,42.857142857142854,50.0,20.0,42.0,60.0,28.57142857142857,50.0,35.0
10/29/2023,11939,28.999999999999996,26.31578947368421,18.181818181818183,20.0,42.857142857142854,50.0,20.0,44.0,60.0,28.57142857142857,50.0,40.0
11/5/2023,12283,35.0,31.57894736842105,18.181818181818183,20.0,42.857142857142854,50.0,20.0,42.0,60.0,35.714285714285715,50.0,35.0
11/12/2023,9880,45.0,31.57894736842105,18.181818181818183,20.0,42.857142857142854,50.0,20.0,44.0,60.0,28.57142857142857,50.0,45.0
11/19/2023,7232,25.0,26.31578947368421,12.121212121212121,20.0,42.857142857142854,50.0,20.0,38.0,80.0,21.428571428571427,40.0,45.0
11/26/2023,5768,23.0,31.57894736842105,12.121212121212121,20.0,42.857142857142854,50.0,20.0,38.0,80.0,21.428571428571427,50.0,40.0
12/3/2023,3809,14.000000000000002,21.052631578947366,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,38.0,100.0,21.428571428571427,40.0,40.0
12/10/2023,2209,10.0,15.789473684210526,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,32.0,80.0,14.285714285714285,40.0,25.0
12/17/2023,1290,9.0,10.526315789473683,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,30.0,80.0,14.285714285714285,40.0,25.0
12/24/2023,801,8.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,80.0,14.285714285714285,40.0,25.0
12/31/2023,471,7.000000000000001,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,80.0,14.285714285714285,30.0,20.0
1/7/2024,267,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,60.0,7.142857142857142,30.0,20.0
1/14/2024,189,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,60.0,7.142857142857142,40.0,15.0
1/21/2024,160,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,30.0,20.0
1/28/2024,112,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,30.0,20.0
2/4/2024,117,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,80.0,7.142857142857142,40.0,25.0
2/11/2024,61,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,36.0,80.0,7.142857142857142,40.0,30.0
2/18/2024,59,7.000000000000001,15.789473684210526,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,38.0,60.0,7.142857142857142,40.0,45.0
2/25/2024,77,5.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,60.0,7.142857142857142,30.0,45.0
3/3/2024,65,5.0,5.263157894736842,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,34.0,60.0,7.142857142857142,50.0,45.0
3/10/2024,65,5.0,10.526315789473683,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,38.0,60.0,35.714285714285715,50.0,60.0
3/17/2024,83,6.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,36.0,40.0,7.142857142857142,40.0,55.00000000000001
3/24/2024,64,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,60.0,7.142857142857142,30.0,55.00000000000001
3/31/2024,72,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,40.0,7.142857142857142,30.0,55.00000000000001
4/7/2024,67,4.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,40.0,60.0,7.142857142857142,30.0,30.0
4/14/2024,146,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,44.0,40.0,7.142857142857142,40.0,30.0
4/21/2024,157,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,38.0,60.0,14.285714285714285,40.0,25.0
4/28/2024,135,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,60.0,7.142857142857142,40.0,15.0
5/5/2024,153,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,40.0,7.142857142857142,40.0,15.0
5/12/2024,180,6.0,5.263157894736842,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,34.0,60.0,7.142857142857142,50.0,20.0
5/19/2024,151,6.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,36.0,60.0,14.285714285714285,40.0,20.0
5/26/2024,124,6.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,60.0,7.142857142857142,40.0,20.0
6/2/2024,162,6.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,60.0,7.142857142857142,40.0,20.0
6/9/2024,176,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,30.0,20.0
6/16/2024,136,4.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,32.0,40.0,7.142857142857142,20.0,15.0
6/23/2024,264,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,30.0,20.0
6/30/2024,285,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,40.0,7.142857142857142,40.0,25.0
7/7/2024,519,7.000000000000001,5.263157894736842,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,34.0,80.0,14.285714285714285,40.0,25.0
7/14/2024,402,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,40.0,15.0
7/21/2024,683,5.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,24.0,60.0,7.142857142857142,20.0,10.0
7/28/2024,1255,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,20.0,60.0,7.142857142857142,40.0,15.0
8/4/2024,1016,5.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,20.0,40.0,7.142857142857142,20.0,10.0
8/11/2024,1450,7.000000000000001,5.263157894736842,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,26.0,40.0,14.285714285714285,40.0,15.0
8/18/2024,1742,7.000000000000001,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,60.0,14.285714285714285,40.0,20.0
8/25/2024,1882,9.0,5.263157894736842,3.0303030303030303,20.0,42.857142857142854,50.0,20.0,30.0,60.0,14.285714285714285,40.0,20.0
9/1/2024,2366,10.0,10.526315789473683,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,30.0,60.0,14.285714285714285,40.0,25.0
9/8/2024,3382,15.0,15.789473684210526,9.090909090909092,20.0,42.857142857142854,50.0,20.0,36.0,60.0,21.428571428571427,50.0,25.0
9/15/2024,4519,17.0,10.526315789473683,12.121212121212121,20.0,28.57142857142857,50.0,20.0,32.0,60.0,21.428571428571427,40.0,25.0
9/22/2024,5457,22.0,21.052631578947366,12.121212121212121,20.0,28.57142857142857,50.0,20.0,40.0,60.0,28.57142857142857,50.0,20.0
9/29/2024,6800,24.0,21.052631578947366,18.181818181818183,20.0,42.857142857142854,50.0,40.0,40.0,60.0,35.714285714285715,50.0,25.0
10/6/2024,6445,26.0,21.052631578947366,15.151515151515152,20.0,42.857142857142854,50.0,20.0,38.0,60.0,35.714285714285715,50.0,25.0
10/13/2024,6772,26.0,21.052631578947366,15.151515151515152,20.0,28.57142857142857,50.0,20.0,42.0,40.0,28.57142857142857,50.0,25.0
10/20/2024,7081,30.0,26.31578947368421,18.181818181818183,20.0,57.14285714285714,50.0,20.0,44.0,60.0,28.57142857142857,60.0,30.0
10/27/2024,1348,28.000000000000004,26.31578947368421,15.151515151515152,20.0,42.857142857142854,50.0,20.0,46.0,80.0,35.714285714285715,50.0,35.0
11/3/2024,7891,25.0,21.052631578947366,15.151515151515152,20.0,42.857142857142854,50.0,40.0,40.0,60.0,35.714285714285715,50.0,35.0
11/10/2024,7539,23.0,21.052631578947366,12.121212121212121,20.0,42.857142857142854,50.0,20.0,38.0,60.0,28.57142857142857,40.0,35.0
11/17/2024,7116,24.0,21.052631578947366,12.121212121212121,20.0,28.57142857142857,50.0,20.0,38.0,60.0,28.57142857142857,50.0,40.0
11/24/2024,5757,20.0,26.31578947368421,9.090909090909092,20.0,28.57142857142857,50.0,20.0,36.0,60.0,21.428571428571427,50.0,40.0
12/1/2024,4163,16.0,15.789473684210526,9.090909090909092,20.0,28.57142857142857,50.0,20.0,32.0,60.0,21.428571428571427,40.0,35.0
12/8/2024,2872,12.0,15.789473684210526,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,60.0,14.285714285714285,30.0,25.0
12/15/2024,1525,9.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,24.0,60.0,14.285714285714285,30.0,30.0
12/22/2024,839,7.000000000000001,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,24.0,60.0,7.142857142857142,40.0,30.0
12/29/2024,221,7.000000000000001,10.526315789473683,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,24.0,40.0,7.142857142857142,30.0,20.0
1/5/2025,352,7.000000000000001,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,24.0,40.0,7.142857142857142,30.0,25.0
1/12/2025,258,8.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,22.0,60.0,7.142857142857142,30.0,30.0
1/19/2025,190,5.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,26.0,40.0,7.142857142857142,30.0,25.0
1/26/2025,149,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,24.0,60.0,7.142857142857142,40.0,30.0
2/2/2025,88,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,60.0,7.142857142857142,30.0,35.0
2/9/2025,127,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,60.0,7.142857142857142,40.0,35.0
2/16/2025,99,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,24.0,60.0,7.142857142857142,40.0,40.0
2/23/2025,62,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,60.0,7.142857142857142,40.0,35.0
3/2/2025,44,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,60.0,7.142857142857142,40.0,45.0
3/9/2025,117,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,50.0,45.0
3/16/2025,96,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,60.0,7.142857142857142,40.0,40.0
3/23/2025,56,3.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,24.0,40.0,7.142857142857142,30.0,30.0
3/30/2025,35,2.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,22.0,40.0,7.142857142857142,20.0,25.0
4/6/2025,172,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,24.0,60.0,7.142857142857142,40.0,25.0
4/13/2025,153,4.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,40.0,7.142857142857142,30.0,20.0
4/20/2025,238,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,40.0,7.142857142857142,40.0,25.0
4/27/2025,53,3.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,40.0,7.142857142857142,40.0,25.0
5/4/2025,318,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,60.0,7.142857142857142,40.0,25.0
5/11/2025,394,4.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,40.0,7.142857142857142,40.0,20.0
5/18/2025,491,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,30.0,20.0
5/25/2025,373,5.0,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,60.0,7.142857142857142,40.0,25.0
6/1/2025,585,4.0,5.263157894736842,3.0303030303030303,20.0,14.285714285714285,50.0,20.0,28.000000000000004,40.0,7.142857142857142,30.0,20.0
6/8/2025,809,7.000000000000001,5.263157894736842,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,32.0,60.0,7.142857142857142,30.0,30.0
6/15/2025,1609,12.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,34.0,40.0,7.142857142857142,40.0,25.0
6/22/2025,2055,13.0,10.526315789473683,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,40.0,60.0,14.285714285714285,50.0,30.0
6/29/2025,2470,14.000000000000002,15.789473684210526,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,42.0,60.0,21.428571428571427,40.0,25.0
